SKU,Title,Image,Manufacturer (Brand),Released Date,Price,Specifications,Descriptions,URL
koyobukiya0000001615,HEAVY WEAPON UNIT09 VORTEX DRIVER,http://en.kotobukiya.co.jp/wp-content/uploads/2015/02/HW09_main1.jpg,WoodBell Industry,"Sep, 2021",--,Plastic Model,"A KOTOBUKIYA Japanese import!  With new Modeling Support Goods Heavy Weapon Units from Kotobukiya you can equip your Frame Arms robots and any other model kits in their scale like never before!  The latest all new customizable add-on weapon set is the VORTEX DRIVER, a fearsome melee weapon system with options for drill, driver, and cutter applications.  The kit consists of 20 pieces that can be assembled into different configurations on its own as a unique weapon or as part of your robot models!  Perfect for use with the Frame Arms series of customizable plastic kits, the Vortex Driver adds even more options when paired with other Modeling Support Goods products from Kotobukiya.",http://en.kotobukiya.co.jp/product/product-0000001615/
koyobukiya0000001514,ARTFX J Yami Bakura,http://en.kotobukiya.co.jp/wp-content/uploads/2016/09/yugio_movie_logo-182x122-182x122.jpg,Tsukuru Shirahige,"May, 2021",--,Pre-Painted PVC Figure,"From the card game anime masterpiece Yu-Gi-Oh! Duel Monsters, the next character to join the ARTFX J series is Yugi’s nemesis: Yami Bakura!",http://en.kotobukiya.co.jp/product/product-0000001514/
koyobukiya0000003891,HRESVELGR=ATER Summer Vacation Ver.,http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/d44422b72f6c402287cfd2e302fa03cd3fa394e8.jpg,"Yasunori Shimizu,Katsuhiko Hori,Masaru Ashizawa,KOTOBUKIYA","Apr, 2021",--,Plastic Model,"Based on the Frame Arms model designed by Tomotake Kinoshita with character art created by E-ji Komatsu, Frame Arms Girl HRESVELGR is now available in a new Summer Vacation Ver.!",http://en.kotobukiya.co.jp/product/product-0000003891/
koyobukiya0000003904,FRAME ARMS GIRL HANDSCALE STYLET XF-3 Low Visibility Ver.,http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/6afba38603f5ddd78f2db4f04d0bea9601abf712.jpg,"Yasunori Shimizu,Atsushi Watabe,Kana Mianamida,Masakazu Oowa,Matsuya Numamoto","Apr, 2021",--,Plastic Model,The next product in line to join the Frame Arms Girl “hand scale” series is Frame Arms Girl “Stylet XF-3 Low Visibility Ver.”!,http://en.kotobukiya.co.jp/product/product-0000003904/
koyobukiya0000003900,CAPTAIN AMERICA AVENGERS FINE ART STATUE,http://en.kotobukiya.co.jp/wp-content/uploads/2014/07/fas_slogo-210x122.jpg,RESTORE,"Apr, 2021",--,Pre-Painted Cold Cast Statue,"The newest character to join the FINE ART STATUE lineup is Captain America! This statue is massive in size, yet the quality of the overall statue has leveled up.",http://en.kotobukiya.co.jp/product/product-0000003900/
koyobukiya0000003715,"b""ARTFX J Conan Edogawa\xe3\x80\x80\xef\xbd\x97earing Akai's costume ver.""",http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/481ef564055fab4f316b237d0eb1d5282a1e31ac.jpg,b'PINPOINT',"Apr, 2021",--,b'Pre-Painted PVC Figure',"b'From the world-renowned anime series that has been airing since 1996, \xe2\x80\x9cDetective Conan,\xe2\x80\x9d comes a figure of Conan Edogawa dressed in Shuichi Akai\xe2\x80\x99s costume!'",b'http://en.kotobukiya.co.jp/product/product-0000003715/'
koyobukiya0000003716,ARTFX J Shuichi Akai,http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/8813eb3dc3e4003d16c1040c7c32855a565c73c2.jpg,BRAIN,"Apr, 2021",--,Pre-Painted PVC Figure,"From the world-renowned anime series that has been airing since 1996, “Detective Conan,” comes a figure of Shuichi Akai!",http://en.kotobukiya.co.jp/product/product-0000003716/
koyobukiya0000003915,Ino Sakura,http://en.kotobukiya.co.jp/wp-content/uploads/2014/06/PVC_slogo-210x122.jpg,HIROHITO,"Apr, 2021",--,Pre-Painted PVC Figure,From the currently airing anime series “Dropout Idol Fruit Tart” comes an all-new scale figure of Ino Sakura who has moved to Tokyo to become an idol and can be seen showing off her energy with her dynamic pose.,http://en.kotobukiya.co.jp/product/product-0000003915/
koyobukiya0000003898,b'LIGER ZERO PANZER UNIT MARKING PLUS Ver.',http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/a7d1c3d7c5a05a5a7794ea3a8b15e60c8b9b688e.jpg,b'PS\xe3\x80\x81PE',"Apr, 2021",--,b'Plastic Model',b'With the \xe2\x80\x9cChanging Armor System\xe2\x80\x9d that transforms the Liger Zero\xe2\x80\x99s silhouette and performance ability by changing its outer armor.',b'http://en.kotobukiya.co.jp/product/product-0000003898/'
koyobukiya0000003931,b'Koyomi Takanashi\xe3\x80\x90RYOBU HIGH SCHOOL WINTER CLOTHES\xe3\x80\x91',http://en.kotobukiya.co.jp/wp-content/uploads/2014/06/cp_loro-210x122.jpg,b'MARUYA',"Apr, 2021",--,b'Plastic Model',"b'The second character to join this series, and the first in the lineup to come complete with glasses, is Koyomi Takanashi!'",b'http://en.kotobukiya.co.jp/product/product-0000003931/'
koyobukiya0000003933,b'Koyomi Takanashi\xe3\x80\x90RYOBU HIGH SCHOOL WINTER CLOTHES\xe3\x80\x91DREAMING STYLE  CLASSICAL IVY',http://en.kotobukiya.co.jp/wp-content/uploads/2014/06/cp_loro-210x122.jpg,b'MARUYA',"Apr, 2021",--,b'Plastic Model',b'Koyomi Takanashi from the SOUSAI SHOJO TEIEN series takes the stage in a new DREAMING STYLE with a color scheme full of personality.',b'http://en.kotobukiya.co.jp/product/product-0000003933/'
koyobukiya0000003932,AFTER SCHOOL RETRO DESK,http://en.kotobukiya.co.jp/wp-content/uploads/2014/06/cp_loro-210x122.jpg,MARUYA,"Apr, 2021",--,Plastic Model,Introducing the optional part series that truly brings SOUSAI SHOJO TEIEN characters to life: the “After School” series. The second in this series is the AFTER SCHOOL RETRO DESK!,http://en.kotobukiya.co.jp/product/product-0000003932/
koyobukiya0000002356,ARTFX J Roy Mustang,http://en.kotobukiya.co.jp/wp-content/uploads/2017/02/hagane_logo-210x122.jpg,Tsukuru Shirahige,"Apr, 2021",--,Pre-Painted PVC Figure,Kotobukiya presents a 1/8 scale ARTFX J collectible statue of Roy Mustang from Fullmetal Alchemist: Brotherhood!,http://en.kotobukiya.co.jp/product/product-0000002356/
koyobukiya0000003896,ARTFX J Edward Elric,http://en.kotobukiya.co.jp/wp-content/uploads/2017/02/hagane_logo-210x122.jpg,"Tatsuya Hattori, HIDE, Yoshinori Saimaru","Apr, 2021",--,Pre-Painted PVC Figure,Kotobukiya’s ARTFX J lineup of classic anime character favorites is now back with Edward Elric from Full Metal Alchemist: Brotherhood!,http://en.kotobukiya.co.jp/product/product-0000003896/
koyobukiya0000003314,Miku Nakano,http://en.kotobukiya.co.jp/wp-content/uploads/2014/06/PVC_slogo-210x122.jpg,kana(daisybell),"Apr, 2021",--,Pre-Painted PVC Figure,Miku Nakano from the hit anime The Quintessential Quintuplets is now available as a 1/8 scale figure!,http://en.kotobukiya.co.jp/product/product-0000003314/
koyobukiya0000003925,ARTFX J Hajime Hinata,http://en.kotobukiya.co.jp/wp-content/uploads/2020/10/acf50dd79ffbe30ffe98e0e453a98d95ce92faa1.jpg,KOTOBUKIYA,"Apr, 2021",--,Pre-Painted PVC Figure,"Characters from the popular high-speed mystery action game, “SUPER DANGANRONPA 2: Sayonara Zetsubou Gakuen,” are joining the ARTFX J series! The first in the lineup is the protagonist of the game with the title of “Ultimate ???”: Hajime Hinata!",http://en.kotobukiya.co.jp/product/product-0000003925/
