Product Name,Price (RM),Sold Units,Seller Region,Links
Boys Tshirt Grey Excavator Kids T-shirt Girl Children Tops Short Sleeve Stitching Cotton,8.50,6300.0,Overseas,https://shopee.tw//Boys-Tshirt-Grey-Excavator-Kids-T-shirt-Girl-Children-Tops-Short-Sleeve-Stitching-Cotton-i.48806428.1201580133
Light up Drawing Fun Developing Toy Draw Sketchpad Board Portable for Children Kids School(Ready Stock!!!),6.11,111,Penang,https://shopee.tw//Light-up-Drawing-Fun-Developing-Toy-Draw-Sketchpad-Board-Portable-for-Children-Kids-School(Ready-Stock!!!)-i.175518364.7129285513
b'\xf0\x9f\x94\xa5Buy 10 free 1\xf0\x9f\x94\xa5 Ready Stock 2-12Y Kids Clothes Baby Boy Girls Short Sleeve T Shirt Tee Top Tops',13.59,18600.0,Overseas,b'https://shopee.tw//\xf0\x9f\x94\xa5Buy-10-free-1\xf0\x9f\x94\xa5-Ready-Stock-2-12Y-Kids-Clothes-Baby-Boy-Girls-Short-Sleeve-T-Shirt-Tee-Top-Tops-i.74510320.2677272926'
Two-piece spot & 2020 fashion girl wear kids sports suit,5.93,NaN,Overseas,https://shopee.tw//Two-piece-spot-2020-fashion-girl-wear-kids-sports-suit-i.306621844.3352812136
US Clinicals Strong Brain Kids 90 chewable burstlets - DHA&EPA,7.58,87,Selangor,https://shopee.tw//US-Clinicals-Strong-Brain-Kids-90-chewable-burstlets-DHA-EPA-i.14372298.2711393022
toyToys-Scooter kids women's scooter yo-yo 2-3-8-year-old beginner baby skid on four-wheeled girl boy,23.99,3,Overseas,https://shopee.tw//toyToys-Scooter-kids-women's-scooter-yo-yo-2-3-8-year-old-beginner-baby-skid-on-four-wheeled-girl-boy-i.192611406.7213566567
toyToys-Scooter kids women's scooter yo-yo 2-3-8-year-old beginner baby skid on four-wheeled girl boy1,112.00,NaN,Overseas,https://shopee.tw//toyToys-Scooter-kids-women's-scooter-yo-yo-2-3-8-year-old-beginner-baby-skid-on-four-wheeled-girl-boy1-i.289734958.4451207056
b'\xf0\x9f\x94\xa5Malaysia Stock\xf0\x9f\x94\xa5 5 in 1 Activity Montessori learning Cube + Wooden Alphabet Letter Cards Montessori ToyToys',118.00,26,Selangor,b'https://shopee.tw//\xf0\x9f\x94\xa5Malaysia-Stock\xf0\x9f\x94\xa5-5-in-1-Activity-Montessori-learning-Cube-Wooden-Alphabet-Letter-Cards-Montessori-ToyToys-i.10692578.6714367875'
T.Type Blaster Electric Soft Bullet Gun + Fr 20 Bullets Outdoor Fun ToyToys for boys,167.00,NaN,Johor,https://shopee.tw//T.Type-Blaster-Electric-Soft-Bullet-Gun-Fr-20-Bullets-Outdoor-Fun-ToyToys-for-boys-i.298500567.7649047518
New product live voice simulation Harmony high-speed iron alloy model train door open sound and light pull back children s toyToys,115.64,NaN,Overseas,https://shopee.tw//New-product-live-voice-simulation-Harmony-high-speed-iron-alloy-model-train-door-open-sound-and-light-pull-back-children-s-toyToys-i.201847538.7153238870
Genuine alloy car model Audi R8 super sports simulation decoration sound and light pull back door children s toyToys,163.66,NaN,Overseas,https://shopee.tw//Genuine-alloy-car-model-Audi-R8-super-sports-simulation-decoration-sound-and-light-pull-back-door-children-s-toyToys-i.201847538.6853238522
Finger DinosaurUntamed Fingerlings Dinosaur toysFingertip Dinosaur Smart ToyToy UmSF,46.90,NaN,Overseas,https://shopee.tw//Finger-DinosaurUntamed-Fingerlings-Dinosaur-toysFingertip-Dinosaur-Smart-ToyToy-UmSF-i.75295800.4852570906
Children's Toy Simulation Small Steering Wheel  Simulated Steering Toy Wheel Early Education Sounding ToyToys Gift,99.00,NaN,Overseas,https://shopee.tw//Children's-Toy-Simulation-Small-Steering-Wheel-Simulated-Steering-Toy-Wheel-Early-Education-Sounding-ToyToys-Gift-i.165648221.4512014515
a.Type Blaster Electric Soft Bullet Gun + Free 20 Bullets Outdoor Fun ToyToys for boys,39.60,1,Johor,https://shopee.tw//a.Type-Blaster-Electric-Soft-Bullet-Gun-Free-20-Bullets-Outdoor-Fun-ToyToys-for-boys-i.219355254.7535948560
Genuine Caiper J-15 alloy aircraft model fighter military pull back sound and light children s toyToys,36.85,NaN,Overseas,https://shopee.tw//Genuine-Caiper-J-15-alloy-aircraft-model-fighter-military-pull-back-sound-and-light-children-s-toyToys-i.201847538.6453239090
Authentic cartoon jingle cat cute shape beetle alloy car model boys and girls children’s toyToys,74.80,NaN,Overseas,https://shopee.tw//Authentic-cartoon-jingle-cat-cute-shape-beetle-alloy-car-model-boys-and-girls-children’s-toyToys-i.201847538.6253239407
Ultimate Ultraman Assembled Weapon Monster Set Tigadyna Galactic Joint Movable Children s ToyToys,23.08,NaN,Overseas,https://shopee.tw//Ultimate-Ultraman-Assembled-Weapon-Monster-Set-Tigadyna-Galactic-Joint-Movable-Children-s-ToyToys-i.201847538.5953238291
Super large long-distance bus alloy model tourist passenger sightseeing car sound and light pull back door children s toyToys,99.00,NaN,Overseas,https://shopee.tw//Super-large-long-distance-bus-alloy-model-tourist-passenger-sightseeing-car-sound-and-light-pull-back-door-children-s-toyToys-i.201847538.5853235556
b'Color amber genuine alloy airplane model F-35 Lightning \xe2\x85\xa1 stealth fighter acousto-optic pull back children s toyToys',72.00,NaN,Overseas,b'https://shopee.tw//Color-amber-genuine-alloy-airplane-model-F-35-Lightning-\xe2\x85\xa1-stealth-fighter-acousto-optic-pull-back-children-s-toyToys-i.201847538.5753235828'
Remote control excavator alloy version 8-channel metal bucket wireless engineering vehicle crawler sound and light children s toyToys,75.00,NaN,Overseas,https://shopee.tw//Remote-control-excavator-alloy-version-8-channel-metal-bucket-wireless-engineering-vehicle-crawler-sound-and-light-children-s-toyToys-i.201847538.5753235027
Promotion of genuine Toyota Camry alloy car model simulation decoration sound and light pull back door children s toyToys,28.91,NaN,Overseas,https://shopee.tw//Promotion-of-genuine-Toyota-Camry-alloy-car-model-simulation-decoration-sound-and-light-pull-back-door-children-s-toyToys-i.201847538.4953236786
Super long double bus city alloy car model voice sound and light pull back children s toyToys,58.00,NaN,Overseas,https://shopee.tw//Super-long-double-bus-city-alloy-car-model-voice-sound-and-light-pull-back-children-s-toyToys-i.201847538.4453236921
New product live voice multi-section can be connected to the city bus light rail alloy model door open sound and pull back children s toyToys,144.00,NaN,Overseas,https://shopee.tw//New-product-live-voice-multi-section-can-be-connected-to-the-city-bus-light-rail-alloy-model-door-open-sound-and-pull-back-children-s-toyToys-i.201847538.4353241229
Genuine Jiaye alloy car model Volkswagen LaVida police simulation decoration sound and light pull back children s toyToys,40.15,NaN,Overseas,https://shopee.tw//Genuine-Jiaye-alloy-car-model-Volkswagen-LaVida-police-simulation-decoration-sound-and-light-pull-back-children-s-toyToys-i.201847538.4353240778
Genuine alloy car model decoration supercar Bugatti Chilong simulation 4 door sound and light pull back children s toyToys,42.48,NaN,Overseas,https://shopee.tw//Genuine-alloy-car-model-decoration-supercar-Bugatti-Chilong-simulation-4-door-sound-and-light-pull-back-children-s-toyToys-i.201847538.4053240730
Genuine alloy simulation touring car model children s sound and light pull back toyToys,44.25,NaN,Overseas,https://shopee.tw//Genuine-alloy-simulation-touring-car-model-children-s-sound-and-light-pull-back-toyToys-i.201847538.3453336690
Japan Kids Furikake Rice Seasoning 2.2g ( Suitable for kids ) - kid food / kids food / kids friendly,27.00,NaN,Selangor,https://shopee.tw//Japan-Kids-Furikake-Rice-Seasoning-2.2g-(-Suitable-for-kids-)-kid-food-kids-food-kids-friendly-i.6906012.7653935224
Daesang Wellife Daily Probiotics 19 KIDS Synbiotics - 2g x 60 sticks / 19 types of 200billion CFU,159.00,28,Overseas,https://shopee.tw//Daesang-Wellife-Daily-Probiotics-19-KIDS-Synbiotics-2g-x-60-sticks-19-types-of-200billion-CFU-i.16528287.6833587751
b'\xf0\x9f\x94\xa5Buy 10 free 1\xf0\x9f\x94\xa5 Ready Stock 2-12Y Kids Clothes Baby Boy Girls Short Sleeve T-Shirt Tee Top Tops',39.60,19100.0,Overseas,b'https://shopee.tw//\xf0\x9f\x94\xa5Buy-10-free-1\xf0\x9f\x94\xa5-Ready-Stock-2-12Y-Kids-Clothes-Baby-Boy-Girls-Short-Sleeve-T-Shirt-Tee-Top-Tops-i.74510320.2821522355'
